DB ID,Parasite Reported Name,Parasite Corrected Name,Host Reported Name,Host Corrected Name C&H,Host Corrected Name W&R05,Location,Latitude,Longitude,Resolution,Prevalence,Sample Size,Sample Basis,Host Sex,Host Age,Parasite Type,Close,Sexual,Vertical,Nonclose,Vector,Intermediate,Citation,Full Reference
1,Ixodes loricatus,Ixodes loricatus,Ateles sp.,Ateles sp.,Ateles sp.,MEXICO,23.0,-102.0,N,,,,,,Arthropod,0.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
2,Haemaphysalis sp.,Haemaphysalis sp.,Macaca radiata,Macaca radiata,Macaca radiata,Kyasanur,14.25,75.06,SL,,,,,,Arthropod,0.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
3,Haemaphysalis sp.,Haemaphysalis sp.,Presbytis entellus,Presbytis entellus,Semnopithecus entellus,Kyasanur,14.25,75.06,SL,,,,,,Arthropod,0.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
4,Sarcoptes sp.,Sarcoptes sp.,Mandrillus leucophaeus,Mandrillus leucophaeus,Mandrillus leucophaeus,GUINEA,11.0,-10.0,N,,,,,,Arthropod,1.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
5,Trypanosoma perodictici,Trypanosoma perodictici,Galago demidovii,Galagoides demidoff,Galago demidoff,LIBERIA,6.5,-9.5,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Baker 1972,"Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
6,Trypanosoma perodictici,Trypanosoma perodictici,Perodicticus potto,Perodicticus potto,Perodicticus potto,CAMEROON,6.0,12.0,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Baker 1972,"Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
7,Trypanosoma perodictici,Trypanosoma perodictici,Perodicticus potto,Perodicticus potto,Perodicticus potto,UGANDA,2.0,33.0,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Baker 1972,"Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
8,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Kampala,0.31,32.58,SL,0.29,85.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
9,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Awash,8.4,39.33,SL,0.03,114.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
10,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Kimana,-2.8,37.53,SL,0.44,74.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
